RUNNING K MEANS
INITIAL WEIGHTS: 
COST: 4.153683041048975
COST: 9.000134544002261
COST: 8.848222741936743
COST: 0.9300796880806019
COST: 4.135358776108757
COST: 1.091769533757394
COST: 3.999510540811919
COST: 4.000079145445929
COST: 1.000000000031597
COST: 0.9999999999999909
COST: 3.9681360624888873
COST: 8.891452289060544
COST: 9.03148930600248
COST: 4.017421462052483
COST: 0.9764821349289269
COST: 1.02815492721145
COST: 8.995281623802287
COST: 9.000048177140235
COST: 9.028966478702952
COST: 0.9999999994405457
COST: 1.0000155985161021
COST: 4.000000945462902
COST: 1.0971708421328759
COST: 9.055019477069893
COST: 1.0000004382020675
COST: 9.000004190987935
COST: 4.163230429620825
COST: 9.000000000006843
COST: 4.010471600512217
COST: 3.9972278421870824
COST: 8.997225931943287
COST: 4.110291296100828
COST: 1.0
COST: 8.979614390554657
COST: 9.143639032614336
COST: 9.000000107785747
COST: 1.00061810742954
COST: 1.0398470259743084
COST: 4.090533802074539
COST: 1.0
COST: 1.0525936649066931
COST: 9.183379420531935
COST: 4.012873705279864
COST: 3.9999999999999742
COST: 4.0
COST: 3.761648542930466
COST: 4.000198482994194
COST: 3.8262436074500443
COST: 4.000000004372609
COST: 0.9999999999999996
COST: 8.999474051034992
COST: 4.002145472949349
GUESSES: 0/178
EPOCH: 1
COST: 0.9667947959999933
COST: 1.0000023550995618
COST: 9.150316235467532
COST: 1.0470334769130825
COST: 1.0401288707931604
COST: 1.000000000000436
COST: 4.000103685243796
COST: 0.99999575742826
COST: 1.0000000077383553
COST: 4.01304656112195
COST: 9.002123957108763
COST: 9.0
COST: 3.9999959177423086
COST: 4.001477375797942
COST: 3.963426654309468
COST: 9.00487239966673
COST: 0.9997868881107523
COST: 0.9999999999998304
COST: 9.028866710278086
COST: 0.9999654388771225
COST: 1.0280071887108364
COST: 3.9414710480551145
COST: 9.093995135341192
COST: 8.999986294128684
COST: 4.077674186827022
COST: 0.8534136993871136
COST: 4.000000041822348
